PEDIDOS COM DIFERENÇA ENTRE VLR_PRODUTOS E SOMA DOS ITENS
Total: 1405

CODIGO	VLR_TOTAL	VLR_PRODUTOS	SOMA_ITENS	DIFERENCA
23467	4587.00	4587.00	3762.00	825.00
24701	4245.00	4245.00	3420.00	825.00
25002	5154.29	5154.29	4338.39	815.90
23830	6276.68	6276.68	5470.65	806.03
23526	6170.75	6170.75	5369.44	801.31
24935	6070.08	6070.08	5273.29	796.79
23430	6066.34	6066.34	5269.72	796.62
23983	5935.08	5935.08	5144.31	790.77
23515	5119.60	5119.60	4331.60	788.00
23947	5115.91	5115.91	4328.51	787.40
23304	5851.83	5851.83	5064.78	787.05
24585	5070.80	5070.80	4285.67	785.13
24098	5070.80	5070.80	4286.80	784.00
24578	5774.29	5774.29	4990.71	783.58
23913	5730.86	5730.86	4949.23	781.63
24240	5706.63	5706.63	4926.08	780.55
24959	4327.22	4327.22	3552.00	775.22
23722	4295.00	4295.00	3521.57	773.43
24459	5538.20	5538.20	4765.16	773.04
24987	4843.99	4843.99	4071.20	772.79
24840	4295.00	4295.00	3522.60	772.40
23279	4295.00	4295.00	3522.60	772.40
23567	4295.00	4295.00	3522.60	772.40
23937	4295.00	4295.00	3522.60	772.40
24074	4295.00	4295.00	3522.60	772.40
24230	4295.00	4295.00	3522.60	772.40
24342	4295.00	4295.00	3522.60	772.40
24498	4295.00	4295.00	3522.60	772.40
24989	4295.00	4295.00	3522.60	772.40
23760	4882.32	4882.32	4118.40	763.92
23463	6642.05	6642.05	5880.00	762.05
23811	5089.51	5089.51	4328.51	761.00
23498	5068.80	5068.80	4308.48	760.32
24044	4878.72	4878.72	4118.40	760.32
23708	5068.80	5068.80	4308.48	760.32
24253	4878.72	4878.72	4118.40	760.32
24462	4878.72	4878.72	4118.40	760.32
24899	4878.72	4878.72	4118.40	760.32
24077	5166.31	5166.31	4409.92	756.39
24568	4047.40	4047.40	3298.09	749.31
23989	4588.80	4588.80	3840.00	748.80
24830	4933.72	4933.72	4187.14	746.58
23507	3799.08	3799.08	3072.00	727.08
23420	4635.43	4635.43	3925.00	710.43
23501	4607.67	4607.67	3901.50	706.17
24563	2206.78	2206.78	1514.65	692.13
23664	3165.49	3165.49	2475.52	689.97
23142	3418.33	3418.33	4091.05	672.72
24436	5696.21	5696.21	5040.00	656.21
23502	3100.15	3100.15	2448.76	651.39
23963	5620.53	5620.53	4973.28	647.25
23898	3667.68	3667.68	3024.00	643.68
24325	3604.51	3604.51	2971.92	632.59
23421	4643.00	4643.00	4014.00	629.00
24096	1903.92	1903.92	1279.80	624.12
24445	5064.12	5064.12	4451.41	612.71
23897	5548.10	5548.10	4943.09	605.01
23754	8859.99	8859.99	8255.00	604.99
24186	8863.08	8863.08	8260.00	603.08
24829	8863.07	8863.07	8260.05	603.02
24805	5549.35	5549.35	4957.35	592.00
23414	13063.71	13063.71	12479.64	584.07
24605	8821.89	8821.89	8243.19	578.70
32248	8490.00	8490.00	7920.00	570.00
23412	4592.60	4592.60	4022.80	569.80
23296	3686.39	3686.39	3127.00	559.39
24806	8381.66	8381.66	7831.86	549.80
24821	1788.20	1788.20	1240.61	547.59
23915	5483.10	5483.10	4943.10	540.00
24732	3982.37	3982.37	3442.88	539.49
24437	3488.67	3488.67	2954.00	534.67
24453	3032.82	3032.82	2498.31	534.51
24379	1728.84	1728.84	1199.57	529.27
24007	2041.17	2041.17	1513.05	528.12
24188	7640.60	7640.60	7115.44	525.16
23504	7951.78	7951.78	7430.16	521.62
24644	1699.17	1699.17	1178.85	520.32
24780	4141.26	4141.26	3625.02	516.24
23598	1944.18	1944.18	1430.00	514.18
23988	7826.36	7826.36	7312.96	513.40
23320	11474.21	11474.21	10961.20	513.01
23254	5409.92	5409.92	4902.00	507.92
24469	5306.18	5306.18	4800.00	506.18
24213	1652.77	1652.77	1146.66	506.11
23716	2044.00	2044.00	1540.00	504.00
23858	2032.32	2032.32	1531.20	501.12
23748	6197.10	6197.10	5697.50	499.60
23788	1653.84	1653.84	1155.00	498.84
25034	2070.73	2070.73	1574.12	496.61
23764	1981.44	1981.44	1485.00	496.44
23686	2033.40	2033.40	1539.00	494.40
23828	2046.81	2046.81	1555.53	491.28
25003	1670.90	1670.90	1182.16	488.74
24869	6148.00	6148.00	5660.00	488.00
23300	3758.16	3758.16	3272.18	485.98
23452	5930.00	5930.00	5450.00	480.00
23564	6040.00	6040.00	5560.00	480.00
23801	5880.00	5880.00	5400.00	480.00
24506	6040.00	6040.00	5560.00	480.00
24507	5930.00	5930.00	5450.00	480.00
24868	5930.00	5930.00	5450.00	480.00
24749	8710.79	8710.79	8234.66	476.13
24759	1719.60	1719.60	1246.99	472.61
23043	4297.93	4297.93	3826.31	471.62
24567	1711.60	1711.60	1241.05	470.55
24285	7169.83	7169.83	6699.51	470.32
24519	1697.60	1697.60	1230.89	466.71
24603	1941.38	1941.38	1475.79	465.59
24433	1689.20	1689.20	1224.52	464.68
24480	1669.60	1669.60	1210.44	459.16
24647	1668.80	1668.80	1209.73	459.07
24030	1667.20	1667.20	1208.58	458.62
24092	1667.20	1667.20	1208.86	458.34
23933	1984.18	1984.18	1526.25	457.93
24889	1666.00	1666.00	1208.27	457.73
24697	1663.60	1663.60	1206.25	457.35
24566	1662.00	1662.00	1204.95	457.05
24369	1662.40	1662.40	1205.38	457.02
24076	1660.40	1660.40	1203.64	456.76
24145	1652.40	1652.40	1197.99	454.41
23255	6061.60	6061.60	5607.45	454.15
24370	1649.60	1649.60	1196.25	453.35
23980	1961.96	1961.96	1509.20	452.76
24966	1643.20	1643.20	1191.73	451.47
24415	1640.00	1640.00	1189.12	450.88
23662	2753.28	2753.28	2304.00	449.28
23939	1632.00	1632.00	1183.47	448.53
24150	2625.08	2625.08	2179.16	445.92
24275	1619.60	1619.60	1174.06	445.54
24963	1616.00	1616.00	1171.72	444.28
24789	1615.20	1615.20	1171.28	443.92
24207	1612.40	1612.40	1168.84	443.56
24706	1609.60	1609.60	1166.67	442.93
24804	1610.80	1610.80	1167.97	442.83
24146	1598.80	1598.80	1158.83	439.97
24239	2973.13	2973.13	2534.56	438.57
23833	6568.37	6568.37	6137.52	430.85
24047	3471.68	3471.68	3050.00	421.68
24617	6110.91	6110.91	5690.89	420.02
23466	7465.38	7465.38	7057.37	408.01
23551	3537.78	3537.78	3130.76	407.02
24310	5617.60	5617.60	5212.00	405.60
23424	2589.11	2589.11	2989.68	400.57
24224	5256.21	5256.21	4871.59	384.62
24243	3738.14	3738.14	3353.72	384.42
23987	2306.64	2306.64	1923.43	383.21
23468	3311.49	3311.49	2930.00	381.49
24126	6954.00	6954.00	6574.00	380.00
24349	3289.17	3289.17	2911.38	377.79
23860	5486.31	5486.31	5109.22	377.09
24210	4983.01	4983.01	4609.61	373.40
23887	2872.16	2872.16	2500.75	371.41
24628	4933.41	4933.41	4563.76	369.65
24521	2857.91	2857.91	2488.34	369.57
24028	3597.63	3597.63	3229.52	368.11
23816	5334.86	5334.86	4968.17	366.69
24713	3588.15	3588.15	3221.61	366.54
24045	3173.60	3173.60	2808.00	365.60
27171	574.40	574.40	214.80	359.60
23266	2234.69	2234.69	1879.97	354.72
23456	3160.45	3160.45	2807.14	353.31
24418	2876.36	2876.36	2529.02	347.34
23396	3229.34	3229.34	2885.60	343.74
24324	2326.57	2326.57	1988.65	337.92
23666	2194.12	2194.12	1856.40	337.72
23826	1849.87	1849.87	1518.55	331.32
24278	2668.85	2668.85	2339.45	329.40
24922	2409.64	2409.64	2083.20	326.44
24160	4479.89	4479.89	4154.18	325.71
23709	2131.01	2131.01	1809.17	321.84
24931	4120.51	4120.51	3799.01	321.50
23719	2209.91	2209.91	1889.40	320.51
24046	2021.12	2021.12	1711.34	309.78
24300	2591.42	2591.42	2284.41	307.01
24800	4628.72	4628.72	4325.09	303.63
23199	2614.34	2614.34	2313.57	300.77
24660	1878.81	1878.81	1580.58	298.23
24312	2671.34	2671.34	2373.53	297.81
24847	3389.41	3389.41	3093.00	296.41
26235	407.60	407.60	113.46	294.14
24980	1778.04	1778.04	1484.80	293.24
23228	4191.17	4191.17	3898.64	292.53
24731	2221.44	2221.44	1933.12	288.32
23541	1774.16	1774.16	1492.53	281.63
24581	882.82	882.82	1161.59	278.77
23920	2041.99	2041.99	1768.46	273.53
24629	1283.74	1283.74	1010.40	273.34
23419	2350.82	2350.82	2080.00	270.82
23777	1989.91	1989.91	1725.80	264.11
23413	2247.09	2247.09	1986.53	260.56
23395	2866.07	2866.07	2607.35	258.72
24961	1740.80	1740.80	1484.80	256.00
24986	811.21	811.21	557.85	253.36
23805	3240.26	3240.26	2988.78	251.48
23903	8429.17	8429.17	8177.89	251.28
24424	2965.51	2965.51	2715.26	250.25
23724	3288.26	3288.26	3041.87	246.39
24747	1475.79	1475.79	1233.85	241.94
24105	1209.21	1209.21	976.18	233.03
24465	2158.98	2158.98	1927.24	231.74
26626	754.18	754.18	522.76	231.42
24819	1715.87	1715.87	1485.88	229.99
23256	1997.69	1997.69	1767.93	229.76
24726	4024.61	4024.61	3796.80	227.81
24069	2267.35	2267.35	2040.09	227.26
23652	1376.64	1376.64	1152.00	224.64
24543	2877.95	2877.95	2653.47	224.48
23318	4037.91	4037.91	3815.65	222.26
24745	693.36	693.36	471.32	222.04
24882	1680.08	1680.08	1460.17	219.91
24427	2257.54	2257.54	2038.94	218.60
23935	1899.19	1899.19	1680.69	218.50
24107	1677.08	1677.08	1460.23	216.85
23757	2540.29	2540.29	2326.76	213.53
24430	1837.23	1837.23	1624.56	212.67
24872	2117.73	2117.73	1905.49	212.24
23545	2156.69	2156.69	1945.22	211.47
24744	2263.42	2263.42	2053.82	209.60
23408	1807.18	1807.18	1598.00	209.18
24291	1317.35	1317.35	1108.22	209.13
24654	1608.80	1608.80	1400.00	208.80
26745	932.55	932.55	728.45	204.10
42377	510.00	510.00	306.00	204.00
23942	2251.81	2251.81	2048.86	202.95
24219	3067.32	3067.32	2866.11	201.21
23753	1119.70	1119.70	920.64	199.06
24792	2184.71	2184.71	1987.27	197.44
24451	1011.43	1011.43	814.36	197.07
23926	1697.57	1697.57	1501.16	196.41
24956	933.68	933.68	738.32	195.36
24857	1861.39	1861.39	1667.71	193.68
23203	5955.97	5955.97	5763.49	192.48
23289	1248.03	1248.03	1055.74	192.29
23953	1209.65	1209.65	1017.64	192.01
24238	1415.98	1415.98	1224.16	191.82
24714	2164.79	2164.79	1973.36	191.43
23678	2217.39	2217.39	2028.00	189.39
24496	2217.39	2217.39	2028.00	189.39
23769	1447.76	1447.76	1260.52	187.24
24771	1375.82	1375.82	1189.44	186.38
24468	1601.49	1601.49	1416.17	185.32
23253	2822.68	2822.68	2637.52	185.16
26140	1289.63	1283.64	1098.83	184.81
24833	2455.59	2455.59	2271.59	184.00
24597	2125.38	2125.38	1941.66	183.72
24619	1593.67	1593.67	1410.32	183.35
24378	2634.92	2634.92	2453.01	181.91
24129	1723.50	1723.50	1543.50	180.00
24180	1393.65	1393.65	1213.71	179.94
23776	2573.09	2573.09	2393.25	179.84
24703	1384.04	1384.04	1205.07	178.97
23627	1594.07	1594.07	1418.33	175.74
24193	1163.27	1163.27	988.15	175.12
24420	1234.44	1234.44	1062.76	171.68
24248	820.07	820.07	648.48	171.59
23892	1760.92	1760.92	1590.61	170.31
23658	1547.06	1547.06	1377.47	169.59
23560	1549.08	1549.08	1380.29	168.79
24305	1455.40	1455.40	1287.95	167.45
24992	1770.26	1770.26	1602.91	167.35
24110	1755.74	1755.74	1589.76	165.98
23267	2212.23	2212.23	2046.45	165.78
23252	2497.11	2497.11	2333.32	163.79
24014	1984.18	1984.18	1820.83	163.35
24387	2489.71	2489.71	2326.38	163.33
23530	2138.29	2138.29	1975.83	162.46
24920	1058.18	1058.18	895.99	162.19
23268	1684.10	1684.10	1523.14	160.96
25017	1393.82	1393.82	1233.46	160.36
24919	2069.81	2069.81	1910.13	159.68
24877	1947.76	1947.76	1788.33	159.43
24668	1887.78	1887.78	1728.66	159.12
24179	1521.76	1521.76	1363.87	157.89
24173	1369.33	1369.33	1211.80	157.53
23656	2881.92	2881.92	2724.90	157.02
23225	1747.22	1747.22	1590.32	156.90
23457	1899.45	1899.45	1742.63	156.82
23449	4345.72	4345.72	4193.30	152.42
24667	3552.73	3552.73	3401.17	151.56
24802	2704.61	2704.61	2553.93	150.68
23448	4418.80	4418.80	4269.41	149.39
24812	1033.00	1033.00	884.59	148.41
23703	4298.53	4298.53	4151.28	147.25
24818	3972.50	3972.50	3826.36	146.14
24854	959.57	959.57	813.47	146.10
23305	4102.87	4102.87	3957.73	145.14
23654	2200.67	2200.67	2056.32	144.35
24696	1296.00	1296.00	1152.00	144.00
24900	2752.06	2752.06	2608.65	143.41
24781	1087.20	1087.20	943.81	143.39
23354	3199.30	3199.30	3056.00	143.30
24921	1443.48	1443.48	1301.44	142.04
23557	2146.52	2146.52	2005.45	141.07
23258	1716.90	1716.90	1577.85	139.05
23972	2711.72	2711.72	2573.92	137.80
24867	3250.28	3250.28	3114.30	135.98
23550	3030.93	3030.93	2895.40	135.53
24099	1683.91	1683.91	1548.47	135.44
23702	4154.76	4154.76	4020.74	134.02
23597	3153.22	3153.22	3019.30	133.92
24620	2074.53	2074.53	1941.67	132.86
23581	1239.13	1239.13	1106.91	132.22
24638	2523.58	2523.58	2391.52	132.06
24711	1665.67	1665.67	1533.69	131.98
24365	991.94	991.94	860.46	131.48
24492	1673.98	1673.98	1543.39	130.59
24686	1380.46	1380.46	1249.95	130.51
24562	2918.31	2918.31	2787.80	130.51
24038	2359.04	2359.04	2228.60	130.44
23852	2356.02	2356.02	2227.93	128.09
24284	2743.87	2743.87	2615.80	128.07
24011	2853.72	2853.72	2726.00	127.72
23916	4142.84	4142.84	4015.73	127.11
23444	3248.07	3248.07	3121.30	126.77
24296	4202.79	4202.79	4076.12	126.67
24195	3223.02	3223.02	3096.38	126.64
23940	1992.28	1992.28	1865.68	126.60
24177	1098.16	1098.16	971.82	126.34
24584	765.03	765.03	640.64	124.39
23583	848.62	848.62	724.55	124.07
24502	2874.98	2874.98	2751.17	123.81
23767	2089.71	2089.71	1966.85	122.86
24579	1235.02	1235.02	1112.32	122.70
24535	780.01	780.01	660.36	119.65
23518	3823.49	3823.49	3704.40	119.09
24677	3911.72	3911.72	3792.66	119.06
23665	758.73	758.73	640.22	118.51
24724	769.82	769.82	651.84	117.98
26916	1056.00	1056.00	938.38	117.62
23752	1005.88	1005.88	890.00	115.88
24080	1402.80	1402.80	1286.98	115.82
24725	2369.62	2369.62	2253.99	115.63
24281	1881.01	1881.01	1766.16	114.85
24564	2940.37	2940.37	2825.55	114.82
24196	1067.45	1067.45	953.03	114.42
24244	1525.48	1525.48	1411.19	114.29
23884	1331.52	1331.52	1217.48	114.04
24467	986.68	986.68	873.17	113.51
23469	1663.83	1663.83	1550.81	113.02
23985	1719.86	1719.86	1607.04	112.82
24292	4023.11	4023.11	3910.67	112.44
24466	2119.82	2119.82	2007.93	111.89
23717	3170.12	3170.12	3059.14	110.98
23908	1282.53	1282.53	1172.76	109.77
23650	895.61	895.61	786.25	109.36
24032	1666.04	1666.04	1556.75	109.29
23393	1927.08	1927.08	1817.99	109.09
24154	841.72	841.72	732.88	108.84
24034	4901.06	4901.06	4793.29	107.77
23272	925.97	925.97	818.60	107.37
24618	2602.92	2602.92	2496.32	106.60
24880	920.96	920.96	815.01	105.95
24351	2575.92	2575.92	2470.74	105.18
24756	2205.98	2205.98	2100.97	105.01
23440	2769.75	2769.75	2664.79	104.96
23446	2620.67	2620.67	2516.12	104.55
24197	3160.85	3160.85	3056.31	104.54
24596	2181.98	2181.98	2077.62	104.36
32262	928.38	825.77	721.53	104.24
24655	677.23	677.23	573.44	103.79
23292	1111.82	1111.82	1008.09	103.73
24729	675.90	675.90	572.31	103.59
23681	1377.26	1377.26	1273.80	103.46
23271	3018.58	3018.58	2916.41	102.17
23829	2277.46	2277.46	2175.57	101.89
23577	3004.00	3004.00	2902.48	101.52
23434	759.64	759.64	659.84	99.80
24067	804.05	804.05	704.33	99.72
25018	685.94	685.94	586.36	99.58
23794	690.43	690.43	591.71	98.72
23481	709.99	709.99	611.48	98.51
24553	1284.77	1284.77	1186.74	98.03
24527	2558.29	2558.29	2460.74	97.55
24087	2841.76	2841.76	2744.72	97.04
24064	3228.69	3228.69	3132.92	95.77
24957	1174.72	1174.72	1269.85	95.13
24753	1792.06	1792.06	1697.41	94.65
24266	2521.17	2521.17	2426.59	94.58
24599	862.75	862.75	768.33	94.42
24392	2101.48	2101.48	2007.54	93.94
23486	646.98	646.98	553.05	93.93
23494	1951.09	1951.09	1857.40	93.69
24233	802.44	802.44	710.00	92.44
24350	1616.88	1616.88	1524.45	92.43
26394	1056.03	1056.03	964.23	91.80
24388	2409.26	2409.26	2317.52	91.74
24463	2701.20	2701.20	2609.86	91.34
24887	769.62	769.62	678.42	91.20
24943	2392.46	2392.46	2301.33	91.13
23799	1102.93	1102.93	1011.86	91.07
32290	2160.28	2160.28	2070.34	89.94
24307	1180.45	1180.45	1092.00	88.45
23531	1485.94	1485.94	1397.69	88.25
24006	2286.76	2286.76	2198.99	87.77
24784	627.74	627.74	541.17	86.57
23313	677.25	677.25	591.11	86.14
24231	745.93	745.93	660.00	85.93
24643	3112.43	3112.43	3026.84	85.59
24265	6149.74	6149.74	6064.31	85.43
24808	584.89	584.89	500.06	84.83
24945	766.03	766.03	681.78	84.25
24333	1134.00	1134.00	1050.00	84.00
24779	740.28	740.28	656.65	83.63
23917	2106.00	2106.00	2022.98	83.02
23350	505.05	505.05	422.54	82.51
24020	1954.35	1954.35	1872.38	81.97
23979	1640.80	1640.80	1558.95	81.85
23400	1071.51	1071.51	990.00	81.51
24091	1496.30	1496.30	1415.33	80.97
23511	1694.94	1694.94	1614.11	80.83
23585	2097.87	2097.87	2017.09	80.78
24636	2569.96	2569.96	2489.36	80.60
23603	1793.64	1793.64	1713.44	80.20
24790	2682.09	2682.09	2601.90	80.19
23351	716.51	716.51	636.55	79.96
23622	1198.61	1198.61	1118.71	79.90
23646	1198.61	1198.61	1118.71	79.90
23643	1667.65	1667.65	1588.31	79.34
23697	629.12	629.12	549.96	79.16
24249	699.17	699.17	620.69	78.48
23373	1631.33	1631.33	1553.55	77.78
23864	1068.89	1068.89	991.76	77.13
23236	1836.96	1836.96	1759.90	77.06
23782	1728.64	1728.64	1651.88	76.76
24182	1827.47	1827.47	1751.38	76.09
24404	2204.65	2204.65	2129.15	75.50
24730	492.04	492.04	416.64	75.40
24970	2281.51	2281.51	2206.72	74.79
24969	2172.48	2172.48	2097.70	74.78
23727	787.68	787.68	714.09	73.59
24865	503.58	503.58	430.50	73.08
24036	1285.99	1285.99	1213.20	72.79
24903	560.63	560.63	488.16	72.47
23437	682.02	682.02	610.47	71.55
23359	1500.82	1500.82	1429.28	71.54
24878	1216.29	1216.29	1145.00	71.29
24513	1256.09	1256.09	1185.00	71.09
24876	2091.67	2091.67	2020.92	70.75
24681	1073.85	1073.85	1003.37	70.48
24021	1699.06	1699.06	1629.25	69.81
23696	845.14	845.14	775.37	69.77
24589	1829.52	1829.52	1760.02	69.50
24176	604.03	604.03	534.54	69.49
23936	825.04	825.04	756.65	68.39
24634	909.99	909.99	841.82	68.17
23470	1077.44	1077.44	1009.52	67.92
23441	1642.27	1642.27	1574.50	67.77
23360	1415.02	1415.02	1347.53	67.49
24757	1532.04	1532.04	1464.80	67.24
23763	562.19	562.19	495.32	66.87
24167	1961.77	1961.77	1895.41	66.36
24304	1368.00	1368.00	1302.00	66.00
24380	1701.50	1701.50	1635.57	65.93
24241	2057.15	2057.15	1991.26	65.89
24600	684.77	684.77	621.25	63.52
24371	1327.01	1327.01	1263.60	63.41
23655	651.33	651.33	588.00	63.33
24279	1671.78	1671.78	1608.61	63.17
24738	764.18	764.18	701.08	63.10
24588	1062.66	1062.66	1000.11	62.55
24864	4588.85	4588.85	4526.43	62.42
23460	940.71	940.71	879.00	61.71
24448	1885.65	1885.65	1824.41	61.24
26242	2029.58	2029.58	1968.37	61.21
24627	1824.64	1824.64	1764.30	60.34
23519	722.65	722.65	662.99	59.66
24128	1490.95	1490.95	1431.62	59.33
24602	753.01	753.01	694.37	58.64
23388	679.21	679.21	620.70	58.51
23524	1225.58	1225.58	1167.22	58.36
24089	1738.67	1738.67	1680.76	57.91
23227	980.41	980.41	923.07	57.34
24767	1272.60	1272.60	1215.71	56.89
24221	262.77	262.77	205.92	56.85
24796	3773.87	3773.87	3717.92	55.95
24079	1639.75	1639.75	1584.30	55.45
23484	1296.79	1296.79	1241.87	54.92
23356	218.64	218.64	273.29	54.65
23633	1138.48	1138.48	1084.26	54.22
24127	1348.64	1348.64	1294.47	54.17
23949	649.69	649.69	596.05	53.64
24410	1360.66	1360.66	1414.08	53.42
31756	1457.17	1457.17	1403.76	53.41
24234	346.55	346.55	293.44	53.11
24051	2003.11	2003.11	1950.08	53.03
24793	584.40	584.40	531.37	53.03
23967	698.63	698.63	646.26	52.37
24720	698.63	698.63	646.26	52.37
23362	1090.81	1090.81	1038.76	52.05
23375	619.50	619.50	569.40	50.10
24330	1477.94	1477.94	1427.96	49.98
24280	1063.42	1063.42	1013.58	49.84
23525	1473.26	1473.26	1423.44	49.82
24692	778.84	778.84	828.56	49.72
24235	322.33	322.33	372.00	49.67
23952	1465.50	1465.50	1415.94	49.56
24835	1340.48	1340.48	1291.19	49.29
23797	2138.33	2138.33	2089.86	48.47
24595	1425.53	1425.53	1377.32	48.21
27072	704.27	704.27	657.22	47.05
23781	1109.39	1109.39	1062.79	46.60
24267	2124.59	2124.59	2078.34	46.25
24504	1393.40	1393.40	1347.30	46.10
24386	699.66	699.66	653.76	45.90
23879	1260.24	1260.24	1214.42	45.82
24108	550.49	550.49	505.04	45.45
23660	384.27	384.27	340.00	44.27
23361	927.12	927.12	882.88	44.24
23868	1280.55	1280.55	1237.24	43.31
23443	1227.04	1227.04	1183.86	43.18
24718	1264.90	1264.90	1222.12	42.78
49604	3807.11	3613.89	3655.96	42.07
24385	167.37	167.37	209.22	41.85
24879	1228.58	1228.58	1187.95	40.63
24656	1153.27	1153.27	1113.26	40.01
23634	1087.82	1087.82	1049.05	38.77
24491	1332.51	1332.51	1293.83	38.68
24664	731.02	731.02	769.50	38.48
23814	853.18	853.18	815.04	38.14
23815	853.18	853.18	815.04	38.14
47518	25949.52	25949.52	25912.00	37.52
44783	3053.10	2957.00	2920.00	37.00
23720	547.12	547.12	510.23	36.89
23885	2196.30	2196.30	2160.02	36.28
24431	1334.76	1334.76	1299.02	35.74
24439	1334.76	1334.76	1299.02	35.74
23635	1024.08	1024.08	988.35	35.73
23636	1037.48	1037.48	1001.77	35.71
38833	39636.12	39636.12	39601.00	35.12
24019	917.20	917.20	882.71	34.49
24633	525.47	525.47	491.00	34.47
46634	21706.67	21706.67	21741.00	34.33
23623	293.44	293.44	259.20	34.24
24836	1429.07	1429.07	1395.19	33.88
23265	1374.47	1374.47	1340.99	33.48
24368	742.78	742.78	709.57	33.21
23878	1064.03	1064.03	1031.99	32.04
23641	652.67	652.67	621.59	31.08
23621	749.18	749.18	718.42	30.76
24728	198.41	198.41	168.00	30.41
23865	522.64	522.64	492.57	30.07
23958	943.77	943.77	913.90	29.87
35411	6129.44	5029.43	4999.68	29.75
23406	1089.53	1089.53	1060.10	29.43
24282	614.37	614.37	585.11	29.26
23779	771.43	771.43	742.17	29.26
23780	771.43	771.43	742.17	29.26
24652	116.62	116.62	145.77	29.15
25032	136.68	136.68	108.08	28.60
23639	599.76	599.76	571.19	28.57
23328	519.84	519.84	547.20	27.36
24606	970.89	970.89	944.01	26.88
24657	753.18	753.18	726.45	26.73
23996	787.06	787.06	760.44	26.62
23738	782.67	782.67	756.20	26.47
24018	941.89	941.89	915.43	26.46
33685	5726.98	5726.98	5701.00	25.98
23835	223.96	223.96	198.18	25.78
45459	4012.93	3816.67	3791.15	25.52
24247	741.31	741.31	716.24	25.07
23363	630.62	630.62	605.84	24.78
23569	512.32	512.32	487.70	24.62
23749	724.50	724.50	700.00	24.50
44982	4345.30	4070.54	4046.26	24.28
24778	813.94	813.94	789.87	24.07
24684	2043.94	2043.94	2020.05	23.89
24497	2998.92	2998.92	2975.48	23.44
24834	796.11	796.11	772.74	23.37
24735	1109.61	1109.61	1086.37	23.24
50536	3809.97	3799.57	3776.65	22.92
44293	7652.01	7341.12	7318.84	22.28
24311	416.02	416.02	437.92	21.90
24114	70.00	70.00	91.36	21.36
23540	199.86	199.86	178.53	21.33
23851	325.11	325.11	303.95	21.16
24049	371.00	371.00	350.00	21.00
24416	1236.54	1236.54	1216.02	20.52
24518	433.66	433.66	414.27	19.39
24423	426.78	426.78	407.70	19.08
32386	2677.50	2677.50	2696.49	18.99
23950	2048.21	2048.21	2029.37	18.84
24680	371.62	371.62	353.15	18.47
43416	2000.99	1938.00	1920.00	18.00
23756	197.13	197.13	179.20	17.93
26901	2064.21	2064.21	2046.29	17.92
41726	43878.17	43878.17	43896.00	17.83
